internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
169211460,N0038324F0ZN0,GE,229543620.08,,F414 DEPOT COMPONENT SUPPORT PERFORMANCE BASED LOGISITICS,DELIVERY ORDER,,,,,,Department of Defense,Department of the Navy,2024-01-01,2024-08-31,66092799-9c72-fde6-e008-9d381191aed2-C,,1173,department-of-defense,CONT_AWD_N0038324F0ZN0_9700_N0038321DZN01_9700
170089709,W911QX24F0007,PLTR,45908506.6,,"BLANKET PURCHASE AGREEMENT (BPA) CALL ORDER FOR PALANTIR LICENSES AND LICENSE SUPPORT SERVICES, ISSUED UNDER DEPARTMENT OF DEFENSE ENTERPRISE SOFTWARE INITIATIVE (ESI) BPA MASTER AGREEMENT N6600119A0044.",BPA CALL,['Q'],,,,,Department of Defense,Department of the Army,2024-01-01,2024-06-05,1ea8a9a4-3726-3491-9040-66950bb67606-C,,1173,department-of-defense,CONT_AWD_W911QX24F0007_9700_N6600119A0044_9700
169865760,SPRBL124F0013,RTX,77885421.0,,PATRIOT PBL REQUIREMENT 2024-2028,DELIVERY ORDER,['Q'],,,,,Department of Defense,Defense Logistics Agency,2024-01-01,2024-12-31,cce9df51-3950-87f4-0b34-4353d5a08f32-C,,1173,department-of-defense,CONT_AWD_SPRBL124F0013_9700_SPRBL115D0017_9700
168244432,M6785424F7600,CACI,45182743.92,,CORE PDSS SERVICES YEAR 5,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Navy,2024-01-01,2025-01-09,28eee911-76af-7147-f760-4ec5f90bec2d-C,,1173,department-of-defense,CONT_AWD_M6785424F7600_9700_M6785419D7614_9700
170039439,FA862024F4782,LHX,31140995.0,,BIG SAFARI,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2024-01-01,2024-12-31,2436f704-990b-cd76-9982-9ccd8db65868-C,,1173,department-of-defense,CONT_AWD_FA862024F4782_9700_FA862020G4050_9700
166833562,89603024F0002,ACN,44547741.82,22571331.14,CORE IT SERVICES - CBOSS BPA,BPA CALL,['Q'],,,,,Department of Energy,Federal Energy Regulatory Commission,2024-01-01,2024-11-30,d41a6b8a-9d6a-0d28-7e24-989e31731aad-C,,930,department-of-energy,CONT_AWD_89603024F0002_8960_89303019AIM000005_8900
170039414,FA820624F0009,HON,119086900.56,,"ENTERPRISE PERFORMANCE BASED LOGISTICS CONTRACT FOR SECONDARY POWER SUPPORT FOR B-1, B-2, E-3, F-15, C-130, F-16, A-10, AND GROUND CARTS. PERFORMANCE AT HILL AFB IN SUPPORT OF 419 SCMS",DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2024-01-01,2024-12-31,360760cb-a2ed-6aa4-2d81-a7909557d12c-C,,1173,department-of-defense,CONT_AWD_FA820624F0009_9700_SPRPA118D001U_9700
167408382,49100424F0001,BAH,47838284.0,23422960.65,INFORMATION TECHNOLOGY MISSION APPLICATION SUPPORT,DELIVERY ORDER,['Q'],,,,,National Science Foundation,National Science Foundation,2024-01-01,2024-12-31,ffca72e5-fba2-798a-6969-2a6c45e9f985-C,,655,national-science-foundation,CONT_AWD_49100424F0001_4900_47QTCK18D0004_4732
168144398,N0038324F0T00,RTX,39000768.0,,NAVY ACQUISITION,DELIVERY ORDER,,,,,,Department of Defense,Department of the Navy,2024-01-01,2024-12-31,1fbbbecd-2f1a-6d4d-6b1c-5fa1ef63ebc6-C,,1173,department-of-defense,CONT_AWD_N0038324F0T00_9700_N0038322DT001_9700
170087648,SPE4A224F2130,GE,82172208.08,,8510359532!PBL MATERIAL GE,DELIVERY ORDER,['Q'],,,,,Department of Defense,Defense Logistics Agency,2024-01-01,2024-12-31,66092799-9c72-fde6-e008-9d381191aed2-C,,1173,department-of-defense,CONT_AWD_SPE4A224F2130_9700_SPE4AX21D9416_9700
