internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
78805279,FA877019F0514,CACI,51070920.36,22157465.7,DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM ROBUST AGILE METHODOLOGY - ACCELERATED (DEAMS RAM-A),DELIVERY ORDER,"['E', 'N', 'Q']",-2003712.65,0.0,,,Department of Defense,Department of the Air Force,2019-03-16,2021-09-30,3da8307d-6dcb-c1a9-13be-fd84086d7b4c-C,,1173,department-of-defense,CONT_AWD_FA877019F0514_9700_FA873214D0027_9700
87247546,N0002419C2125,GD,1349525682.0,32950017.94,SUBMARINE PLANNING YARD,DEFINITIVE CONTRACT,"['N', 'Q']",50837518.49,1914372.0,,,Department of Defense,Department of the Navy,2019-07-11,2028-12-31,d5ab5f51-db3a-a26f-96a1-1b24c3e2802c-C,,1173,department-of-defense,CONT_AWD_N0002419C2125_9700_-NONE-_-NONE-
93276469,FA852819F0038,LMT,34056467.55,3029685.34,U-2 PROGRAMMED DEPOT MAINTENANCE AND SUSTAINMENT,DELIVERY ORDER,"['N', 'Q']",-856759.06,1138282.06,,,Department of Defense,Department of the Air Force,2019-09-23,2025-12-31,c798c2aa-022b-9a6f-21c5-8060af622f14-C,,1173,department-of-defense,CONT_AWD_FA852819F0038_9700_FA852819D0015_9700
80271933,FA881919C0002,LHX,562896911.02,36096754.39,COMBAT MISSION SYSTEMS SUPPORT,DEFINITIVE CONTRACT,"['E', 'N', 'Q']",7742832.95,6538975.22,,,Department of Defense,Department of the Air Force,2019-01-24,2025-04-05,43e64fda-dda9-b9c9-d190-9f4a13183e8b-C,,1173,department-of-defense,CONT_AWD_FA881919C0002_9700_-NONE-_-NONE-
86787573,36C10A19F0321,T,35774546.77,11615370.96,"CO-LOCATED HOSTING SERVICES FOR COMBINATION B - DALLAS, TX AND SAN JOSE, CA",DELIVERY ORDER,['Q'],,,,,Department of Veterans Affairs,Department of Veterans Affairs,2019-09-26,2025-09-30,d96f3486-0fa5-045a-5da7-9cffc0b4a114-C,,561,department-of-veterans-affairs,CONT_AWD_36C10A19F0321_3600_GS00Q17NSD3000_4732
84927229,HC101319C0003,IRDM,60870096.69,,GATEWAY MAINTENANCE AND SUPPORT SERVICES AGREEMENT (GMSSA),DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Defense Information Systems Agency,2019-04-01,2024-06-30,93de5745-ba6d-9e04-eb21-d2993b82deaf-C,,1173.0,department-of-defense,CONT_AWD_HC101319C0003_9700_-NONE-_-NONE-
90744915,FA820219F0035,BA,335233808.26,0.0,THIS EFFORT IS TO PURCHASE WINGS FOR THE A-10 THUNDERBOLT II ADVANCED-WING CONTINUATION KIT (ATTACK) PROGRAM FROM THE A-10 AIRCRAFT.,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2019-08-21,2025-09-30,241d908a-e5e9-f275-b625-6b1f76859002-C,,1173,department-of-defense,CONT_AWD_FA820219F0035_9700_FA820219D0004_9700
87937954,36C10B19N10070015,BAH,826583511.86,228466928.88,IGF::OT::IGF  INFORMATION TECHNOLOGY OPERATIONS AND SERVICES TRANSFORMATION SUPPORT SERVICES,DELIVERY ORDER,"['Q', 'V']",0.0,20891278.36,,,Department of Veterans Affairs,Department of Veterans Affairs,2019-05-17,2025-01-22,30b32b62-ffbf-d7e6-5b9d-95a295b95a6d-C,,561,department-of-veterans-affairs,CONT_AWD_36C10B19N10070015_3600_VA11816D1007_3600
80602034,FA881119F0003,PSN,85015594.24,,"GOVERNMENT IS SEEKING PROVISION OF SPACE VEHICLE LAUNCH MANIFEST SYSTEMS INTEGRATOR SOLUTIONS, AND AWARDEE WILL PERFORM MANIFESTING, PRODUCTION, AND INTEGRATION OF SERVICES IN SUPPORT OF MULTIPLE LAUNCH AND LAUNCH-PROCESSING LOCATIONS WITHIN THE CONTINENTAL UNITED STATES.",DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Air Force,2019-02-14,2024-04-11,cb0d434a-9ad7-93b5-09dc-6067d8c45d71-C,,1173,department-of-defense,CONT_AWD_FA881119F0003_9700_GS00Q14OADU614_4732
86967172,75FCMC19F0088,GD,38524025.0,19038893.21,PRACTICE IMPROVEMENT AND MEASURES MANAGEMENT SUPPORT - PIMMS,DELIVERY ORDER,['Q'],,,,,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2019-08-23,2025-02-22,455555be-773d-eab1-1e6b-7b94400b757e-C,,806,department-of-health-and-human-services,CONT_AWD_75FCMC19F0088_7530_75FCMC18D0025_7530
