cik,ticker,name,cik_s
320193,AAPL,Apple Inc.,0000320193
789019,MSFT,Microsoft Corporation,0000789019
1067983,BRK-B,BERKSHIRE HATHAWAY INC,0001067983
200406,JNJ,Johnson & Johnson,0000200406
34088,XOM,Exxon Mobil Corporation,0000034088
731766,UNH,UnitedHealth Group Incorporated,0000731766
19617,JPM,JPMorgan Chase & Co,0000019617
104169,WMT,WALMART INC.,0000104169
1046179,TSM,Taiwan Semiconductor Manufacturing Company Limited,0001046179
80424,PG,PROCTER & GAMBLE CO,0000080424
1045810,NVDA,NVIDIA CORP,0001045810
1141391,MA,Mastercard Incorporated,0001141391
59478,LLY,ELI LILLY AND COMPANY,0000059478
93410,CVX,Chevron Corp,0000093410
354950,HD,"HOME DEPOT, INC.",0000354950
353278,NVO,NOVO NORDISK AS,0000353278
1551152,ABBV,AbbVie Inc.,0001551152
310158,MRK,"Merck & Co., Inc.",0000310158
1577552,BABA,Alibaba Group Holding Limited,0001577552
70858,BAC,Bank of America Corporation,0000070858
78003,PFE,PFIZER INC,0000078003
21344,KO,COCA COLA CO,0000021344
77476,PEP,"PepsiCo, Inc.",0000077476
937966,ASML,ASML HOLDING NV,0000937966
1730168,AVGO,Broadcom Inc.,0001730168
1341439,ORCL,Oracle Corporation,0001341439
97745,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745
1114448,NVS,Novartis AG,0001114448
909832,COST,COSTCO WHOLESALE CORP NEW,0000909832
858877,CSCO,"CISCO SYSTEMS, INC.",0000858877
63908,MCD,McDONALD’S CORPORATION,0000063908
1800,ABT,ABBOTT LABORATORIES,0000001800
320187,NKE,"NIKE, Inc.",0000320187
1094517,TM,TOYOTA MOTOR CORP,0001094517
313616,DHR,DANAHER CORPORATION,0000313616
1283699,TMUS,"T-MOBILE US, INC.",0001283699
732712,VZ,Verizon Communications Inc.,0000732712
72971,WFC,WELLS FARGO & COMPANYMN,0000072971
1166691,CMCSA,COMCAST CORPORATION,0001166691
1744489,DIS,WALT DISNEY CO,0001744489
1467373,ACN,Accenture plc,0001467373
753308,NEE,"NEXTERA ENERGY, INC.",0000753308
811809,BHP,BHP GROUP LIMITED,0000811809
14272,BMY,BRISTOL-MYERS SQUIBB COMPANY,0000014272
879764,TTE,TotalEnergies SE,0000879764
316709,SCHW,SCHWAB CHARLES CORP,0000316709
1413329,PM,Philip Morris International Inc.,0001413329
1707925,LIN,Linde plc,0001707925
895421,MS,MORGAN STANLEY,0000895421
97476,TXN,TEXAS INSTRUMENTS INCORPORATED,0000097476
1163165,COP,ConocoPhillips,0001163165
796343,ADBE,ADOBE INC.,0000796343
1090727,UPS,"United Parcel Service, Inc.",0001090727
101829,RTX,RAYTHEON TECHNOLOGIES CORPORATION,0000101829
318154,AMGN,Amgen Inc.,0000318154
773840,HON,Honeywell International Inc,0000773840
1065280,NFLX,"Netflix, Inc.",0001065280
732717,T,AT&T INC.,0000732717
1089113,HSBC,HSBC Holdings plc,0001089113
60667,LOW,LOWES COMPANIES INC,0000060667
1000275,RY,Royal Bank of Canada,0001000275
1108524,CRM,"Salesforce, Inc.",0001108524
936468,LMT,LOCKHEED MARTIN CORPORATION,0000936468
100885,UNP,UNION PACIFIC CORP,0000100885
18230,CAT,CATERPILLAR INC,0000018230
217410,UL,UNILEVER PLC,0000217410
315189,DE,DEERE & CO,0000315189
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,0000051143
1000184,SAP,SAP SE,0001000184
1144967,HDB,HDFC BANK LIMITED,0001144967
804328,QCOM,QUALCOMM INCDE,0000804328
12927,BA,THE BOEING COMPANY,0000012927
1121404,SNY,Sanofi,0001121404
64803,CVS,CVS HEALTH CORP,0000064803
863064,RIO,Rio Tinto plc,0000863064
947263,TD,TORONTO DOMINION BANK,0000947263
886982,GS,"The Goldman Sachs Group, Inc.",0000886982
4962,AXP,AMERICAN EXPRESS COMPANY,0000004962
50863,INTC,INTEL CORPORATION,0000050863
1318605,TSLA,"Tesla, Inc.",0001318605
882095,GILD,"GILEAD SCIENCES, INC.",0000882095
