internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
14975687,FA812410C0004,GE,49995000.0,,F108 ENGINE REMANUFACTURE,DCA,,,,,,Department of Defense,Defense Contract Management Agency,2010-08-30,2012-12-31,e85b05cc-9a57-c3df-82b6-251b598a6863-C,,1173,department-of-defense,CONT_AWD_FA812410C0004_9700_-NONE-_-NONE-
38390841,W912WJ12C0007,CEI,32252822.65,,MUDDY RIVER FLOOD DAMAGE REDUCTION PROJECT PHASE 1,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Army,2012-08-10,2018-11-01,f6db11b4-f557-4ebd-7f71-024ceb3338f0-C,,1173,department-of-defense,CONT_AWD_W912WJ12C0007_9700_-NONE-_-NONE-
9746125,AID486C1300001,TERRA,46679099.81,146559.0,"IGF::OT::IGF TERRATHERM, INC. AID-486-C-13-00001 IN-PILE THERMAL DESORPTION (IPTD) SERVICES FOR ENVIRONMENTAL REMEDIATION PROJECT AT THE DANANG AIRPORT, VIETNAM",DEFINITIVE CONTRACT,['Q'],,,,,Agency for International Development,Agency for International Development,2013-02-07,2019-03-31,7a2af10b-6bea-e7f1-2463-bab1692b78ba-C,,801,agency-for-international-development,CONT_AWD_AID486C1300001_7200_-NONE-_-NONE-
1704501,0039,KBR,55331371.9,,PROGRAMMATIC SUPPORT FOR THE UAS PMO,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2010-11-09,2015-11-08,43f70a15-26d2-9af5-bdf0-39c0df43c037-C,,1173,department-of-defense,CONT_AWD_0039_9700_W31P4Q05A0024_9700
25888138,N0002412C5400,RTX,41343433.0,,RDT&E LOE FOR SM PROGRAMS,DEFINITIVE CONTRACT,,,,,,Department of Defense,Defense Contract Management Agency,2012-03-07,2018-02-28,01c4a3a3-b4c5-ce4e-822b-d17f09985001-C,,1173,department-of-defense,CONT_AWD_N0002412C5400_9700_-NONE-_-NONE-
1639518,0035,LMT,36540835.23,,IGF::CT::IGF FTT-11A AND FTT-18 FLIGHT TEST CAMPAIGN,DELIVERY ORDER,,,,,,Department of Defense,Missile Defense Agency,2014-09-17,2016-03-30,46023044-eacc-a9ca-5b5e-ddc4673fc267-C,,1173,department-of-defense,CONT_AWD_0035_9700_HQ014712D0001_9700
9949603,B001,"TOT, TOTSA, TOTF",51388747.94,,GMMX-A2 JET A-1 W/O FSII INTO-TRUCK GMMX-AU JET A-1 W/O FSII,DO,,,,,,Department of Defense,Defense Logistics Agency,2010-04-22,2013-11-30,9e28472f-3dc9-c818-ebfd-97eaaa5c2798-C,,1173.0,department-of-defense,CONT_AWD_B001_9700_SP060010D0071_9700
6477843,2A07,BAH,28639855.42,,"ENTERPRISE ARCHITECTURE DEVELOPMENT, INTEGRATION, AND VALIDATION SUPPORT SERVICES FOR AIMD, ARMY CAPABILITIES INTEGRATION CENTER (ARCIC), ARMY TRAINING AND DOCTRINE COMMAND (TRADOC).",DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2014-07-24,2016-07-23,ffca72e5-fba2-798a-6969-2a6c45e9f985-C,,1173,department-of-defense,CONT_AWD_2A07_9700_W91QUZ06D0019_9700
714342,0007,"GD, GD-LCS, GD-MHI",329716306.51,,CATEGORY II MRAP VEHICLE,DO,,,,,,Department of Defense,Department of the Navy,2010-02-12,2013-05-31,39f7bba0-4eac-e344-b92e-df34fc9fe261-C,,1173,department-of-defense,CONT_AWD_0007_9700_M6785407D5028_9700
2245870,0086,BA,25893040.1,,FLIGHT TEST BASE SUPPORT,DELIVERY ORDER,,,,,,Department of Defense,Defense Contract Management Agency,2010-04-28,2012-04-28,9ab85632-42cc-5fa4-2a9c-d734034ddd33-C,,1173,department-of-defense,CONT_AWD_0086_9700_F3365701D0026_9700
36087381,VA118A12J0204,DELL,28825709.37,,"ENTERPRISE-WIDE PC AND MONITOR REFRESH CONTRACT - ORDER #11, PURCHASE OF PCS, MONITORS, INSTALLATION, IMAGE LOAD,DATA MIGRATION, AND INCENTIVES.",DELIVERY ORDER,,,,,,Department of Veterans Affairs,Department of Veterans Affairs,2012-09-21,2017-07-14,d49f36ae-b747-42e3-5257-6787a69e51e9-C,,561,department-of-veterans-affairs,CONT_AWD_VA118A12J0204_3600_VA798A11P0280_3600
37309296,W15P7T11CH267,NOC,235454940.08,,SERVICES CONTRACT FOR CONTINUED DEPLOYMENT OF VEHICLE AND DISMOUNT EXPLOITATION RADER (VADER).  COST PLUS FIXED FEE CONTRACT.,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Army,2011-09-27,2015-10-30,e398bb29-99aa-01cc-549d-c40fc7d84e10-C,,1173,department-of-defense,CONT_AWD_W15P7T11CH267_9700_-NONE-_-NONE-
37474784,W58RGZ12C0109,LSI,30824684.28,,THE PROCURMENT OF 2 BLACKHAWK MAINTENANCE TRAINERS WITH THE OPTION FOR AN ADDITIONAL FOUR.,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Army,2012-06-27,2017-02-24,f1188cdf-b913-3584-4841-d1252a79252a-C,,1173,department-of-defense,CONT_AWD_W58RGZ12C0109_9700_-NONE-_-NONE-
651303,0006,DCSC,25654056.85,,FOR NAVY ACCOUNTING PURPOSES ONLY,DELIVERY ORDER,,,,,,Department of Defense,Department of the Navy,2010-12-01,2018-03-31,6eb1a41a-0f06-b7ec-39f3-5c94f8248a6a-C,,1173,department-of-defense,CONT_AWD_0006_9700_N6893611D0001_9700
