internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
109332883,47QFWA20F0028,BAH,57471331.7,,"AFIMSC REQUIRES PROFESSIONAL SERVICES TO SUPPORT THE INSTALLATION HEALTH ASSESSMENT IN THIS NON-PERSONAL SERVICES TASK ORDER. JOINT BASE SAN ANTONIO (JBSA), TEXAS",DELIVERY ORDER,['Q'],,,,,General Services Administration,Federal Acquisition Service,2020-08-28,2025-08-27,ffca72e5-fba2-798a-6969-2a6c45e9f985-C,,614,general-services-administration,CONT_AWD_47QFWA20F0028_4732_GS00Q14OADU108_4732
96119736,15JPSS20F00000437,BAESY,29697466.46,28201410.59,EOUSA GENERAL INTEGRATION SERVICES,DELIVERY ORDER,['Q'],,,,,Department of Justice,"Offices, Boards and Divisions",2020-04-01,2022-11-30,2e141abe-fe8f-7ddc-e6a3-8bb2165836be-C,,252,department-of-justice,CONT_AWD_15JPSS20F00000437_1501_47QTCA18D00D9_4732
104155791,FA850520F0004,BA,56019120.92,946247.37,AIRCRAFT STRUCTURAL INTEGRITY PROGRAM: ENGINEERING SERVICES FOR F-15 SUSTAINMENT,DELIVERY ORDER,"['N', 'Q']",81273.77,660859.16,,,Department of Defense,Department of the Air Force,2020-04-24,2029-04-27,9ab85632-42cc-5fa4-2a9c-d734034ddd33-C,,1173,department-of-defense,CONT_AWD_FA850520F0004_9700_FA863417D2696_9700
128592159,W56HZV21F0044,HON,126504633.12,64555112.58,TOTAL INTEGRATED ENGINE REVITALIZATION (TIGER) PROGRAM,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-12-17,2023-02-28,360760cb-a2ed-6aa4-2d81-a7909557d12c-C,,1173,department-of-defense,CONT_AWD_W56HZV21F0044_9700_W56HZV20D0062_9700
98295463,N0001920C0047,RTN,2305453233.0,,CH-53K LRIP LOT 5/6 LONG LEAD ITEMS,DEFINITIVE CONTRACT,,,,,,Department of Defense,Defense Contract Management Agency,2020-03-26,2026-03-31,d64537c9-5482-dd40-cdd4-5cf07b66329d-C,,1173,department-of-defense,CONT_AWD_N0001920C0047_9700_-NONE-_-NONE-
116168873,N6247320F5226,ECC,859714602.01,550246282.19,"DESIGN-BUILD SOUTH AIRFEILD MCON PROJECTS CHINA LAKE, CALIFORNIA",DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Navy,2020-09-10,2024-12-06,3fedc592-5502-0e53-31ff-39d5ab0406d2-C,,1173,department-of-defense,CONT_AWD_N6247320F5226_9700_N6247019D8025_9700
125121028,FA862021F4702,BAESY,69069562.74,,BIG SAFARI,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Air Force,2020-11-01,2024-11-30,cdc6b956-a9c8-8548-7902-4512c9ccb343-C,,1173,department-of-defense,CONT_AWD_FA862021F4702_9700_FA862016G3028_9700
111527272,N0001920C0002,LHX,181589541.0,25130.92,AN/ALQ-214A(V)4/5 - PMA 272,DEFINITIVE CONTRACT,"['N', 'Q']",367701.12,0.0,,,Department of Defense,Department of the Navy,2020-07-31,2024-10-31,8beded26-8074-58f5-93e9-67ed780b7ac4-C,,1173,department-of-defense,CONT_AWD_N0001920C0002_9700_-NONE-_-NONE-
97244500,80ARC020F0081,KBR,39242021.61,39230834.34,"INTELLIGENT SYSTEMS RESEARCH AND DEVELOPMENT SUPPORT 3 - TASK ORDER 1 (CODE TI IDIQ WORK).  SUPPORTS: TECHNOLOGY RESEARCH AREAS, MISSION OPERATIONS, FLIGHT OPERATIONS, AND SOFTWARE SYSTEMS ENGINEERING AND SOFTWARE PROJECT MANAGEMENT.",DELIVERY ORDER,['Q'],,,,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,2020-05-01,2022-04-30,eb13e842-2068-e3ee-0453-d02b9582e5cd-C,,862.0,national-aeronautics-and-space-administration,CONT_AWD_80ARC020F0081_8000_80ARC020D0010_8000
110733712,75A50120C00177,VEDA,61146088.0,35762894.02,TO DEVELOP MEDICAL COUNTERMEASURES (MCMS) THAT TREAT ANTIBIOTIC RESISTANT INFECTIONS.,DEFINITIVE CONTRACT,['Q'],,,,,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,2020-09-28,2027-01-31,b235f756-c9a5-3db3-2f20-a4c6636ee074-C,,806,department-of-health-and-human-services,CONT_AWD_75A50120C00177_7505_-NONE-_-NONE-
116660220,W56HZV20F0424,CAT,25962957.8,,BASE CONTRACT IS FOR SERVICE LIFE EXTENSION PROGRAM ON CAT COMPACTION MACHINES.  THIS DO IS TO PROCURE SLEP FOR 179 MACHINES.,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2020-09-30,2023-09-30,9bca02d6-dc64-52ba-4d3e-bc5b38b1f6a5-C,,1173,department-of-defense,CONT_AWD_W56HZV20F0424_9700_W56HZV20D0094_9700
110209753,SPRTA120F0273,GE,49997559.88,,COVID-19 FUNDING FOR PACER PHANTOM COVID-19 DPA3,DELIVERY ORDER,,,,,,Department of Defense,Defense Logistics Agency,2020-06-12,2022-04-29,61dfb4da-ba2f-398f-13e9-5792607bf051-C,,1173,department-of-defense,CONT_AWD_SPRTA120F0273_9700_SPE4AX16D9408_9700
110998559,HC102820F0730,TPR,25317070.09,,DOD CYBER TRAINING AND DELIVERY PLATFORMS SUPPORT,DELIVERY ORDER,['Q'],,,,,Department of Defense,Defense Information Systems Agency,2020-07-15,2025-07-14,08f17416-be40-4e24-2b45-e5f87b2539d1-C,,1173,department-of-defense,CONT_AWD_HC102820F0730_9700_GS35F007BA_4732
123726401,FA860621F0014,COL,37487761.96,,NEXT GENERATION EJECTION SEAT PROGRAM REVIEWS AND F15 PRODUCTION READINESS,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Air Force,2020-10-23,2025-04-25,fbaf2f7a-d2a8-a4b8-2388-3abc483658a7-C,,1173,department-of-defense,CONT_AWD_FA860621F0014_9700_FA860621D0001_9700
104150977,SPRDL120C0109,OSK,57989530.0,,FINAL LOT BUY OF ENGINES WITH CONTAINERS,DEFINITIVE CONTRACT,,,,,,Department of Defense,Defense Logistics Agency,2020-04-24,2022-12-30,5c99e12d-99a6-52a3-d019-34a3855a6ed7-C,,1173,department-of-defense,CONT_AWD_SPRDL120C0109_9700_-NONE-_-NONE-
115963133,W91CRB20F0448,J,291464110.99,81690042.82,AWARD OF 11 MONTH TASK ORDER FOR GENERAL SERVICES THROUGH 31 JULY 2021.,DELIVERY ORDER,"['N', 'Q']",15595000.0,0.0,,,Department of Defense,Department of the Army,2020-09-01,2024-05-31,435aa33d-8ca5-7631-ec18-85dbb07c6fa1-C,,1173.0,department-of-defense,CONT_AWD_W91CRB20F0448_9700_W91CRB15D0018_9700
110285834,HTC71120FD061,SAIC,32277634.49,,SUPPORT FOR PWS TASK 5,DELIVERY ORDER,,,,,,Department of Defense,USTRANSCOM,2020-06-18,2024-09-30,20af0683-f17d-1f8f-38ee-2f11bd124559-C,,1173,department-of-defense,CONT_AWD_HTC71120FD061_9700_GS35F486BA_4732
116568867,W56HZV20F0503,NOC,34861522.1,,PRODUCTION OF NINETY-FIVE (95) XM813 CANNONS.,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-09-24,2024-12-31,a7284824-a186-1d38-f257-0fd2f2e09ff5-C,,1173,department-of-defense,CONT_AWD_W56HZV20F0503_9700_W56HZV20D0108_9700
128702976,W56HZV21C0072,GD,63239619.0,,CLS AND TRAINING SUPPORT,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Army,2020-12-21,2024-12-31,9596d6f1-5e4b-1f7d-da10-2095e29af526-C,,1173,department-of-defense,CONT_AWD_W56HZV21C0072_9700_-NONE-_-NONE-
116608930,W31P4Q20F0558,IBM,104421531.96,,"THIS IS A FIRM FIXED PRICE MOD TO A INDEFINITE DELIVERY, INDEFINITE QUANTITY CONTRACT IN SUPPORT OF W52P1J-18-D-A032 / W31P4Q20F0558 INFORMATION TECHNOLOGY ENTERPRISE SUPPORT FOR LDAC.",DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-09-30,2024-09-29,6ffc4386-853e-ef89-67e8-22c28ddcf15c-C,,1173,department-of-defense,CONT_AWD_W31P4Q20F0558_9700_W52P1J18DA032_9700
116660151,W50RAJ20F0014,RTN,260575450.79,2890846.96,SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE SUPPORT SERVICES,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-09-30,2025-09-30,daaa0b56-dd2e-9bbf-1efa-a8b8240c3162-C,,1173,department-of-defense,CONT_AWD_W50RAJ20F0014_9700_GS00Q14OADS430_4732
98319281,70B03C20F00000453,SMID,27148422.97,11883189.99,HIGH ENERGY RAIL SYSTEMS,DELIVERY ORDER,['Q'],,,,,Department of Homeland Security,U.S. Customs and Border Protection,2020-07-01,2024-12-31,f3261357-004d-9f85-a1b9-c147727004ca-C,,766,department-of-homeland-security,CONT_AWD_70B03C20F00000453_7014_70B03C20D00000014_7014
116284519,SPRWA120F0064,LHX,27040152.0,,REDESIGNED AND PRODUCTION OF BAND 4-8 COUNTERMEASURE RECEIVER,DELIVERY ORDER,,,,,,Department of Defense,Defense Contract Management Agency,2020-09-15,2023-06-15,07d690c1-f669-239e-44be-4460aac547a5-C,,1173,department-of-defense,CONT_AWD_SPRWA120F0064_9700_SPRWA120D0011_9700
116133915,HC101320C0005,VSAT,35828620.81,,NAVAL SENIOR LEADERSHIP COMMUNICATION - AIRCRAFT (NSLC-A) SATELLITE COMMUNICATIONS SERVICES,DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Defense Information Systems Agency,2020-09-10,2025-09-09,3e01e0d6-80fd-1df8-fd7c-08efc2828a82-C,,1173,department-of-defense,CONT_AWD_HC101320C0005_9700_-NONE-_-NONE-
116609034,W58RGZ20F0609,HON,25865674.6,25865674.6,"ENGINE, AIRCRAFT",DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-09-28,2021-09-30,360760cb-a2ed-6aa4-2d81-a7909557d12c-C,,1173,department-of-defense,CONT_AWD_W58RGZ20F0609_9700_W58RGZ20D0098_9700
149861873,SP060221FA007,VLO,46896108.62,,"14000000 USG OF TURBINE FUEL, AVIATION (JP8)",DELIVERY ORDER,,,,,,Department of Defense,Defense Logistics Agency,2020-12-29,2021-01-05,47c1ba83-c53d-4e92-e987-26c47ac8fb00-C,,1173,department-of-defense,CONT_AWD_SP060221FA007_9700_SP060220D0649_9700
97596294,HR001120C0028,LMT,61666169.07,2642514.31,BLACKJACK SATELLITE INTEGRATION,DEFINITIVE CONTRACT,"['N', 'Q']",1683671.8,1814255.46,,,Department of Defense,Defense Advanced Research Projects Agency,2020-02-26,2024-01-31,46023044-eacc-a9ca-5b5e-ddc4673fc267-C,,1173,department-of-defense,CONT_AWD_HR001120C0028_9700_-NONE-_-NONE-
98328245,W909MY20F0050,L3H,35091416.9,,PURCHASE OF SIXTY-FIVE (73) ELECTRO-OPTIC/INFRARED/LASER DESIGNATOR PAYLOADS TO INCLUDE FIRST ARTICLE UNITS AND SERVICES. PURCHASE OF 36 SPECIAL TOOLING AND EQUIPMENT.,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2020-03-27,2021-10-31,828667c5-3f31-f0f4-9d3d-69e1c39b3d03-C,,1173,department-of-defense,CONT_AWD_W909MY20F0050_9700_W909MY18D0031_9700
98022551,123J1420C1825,FSGG,82638985.0,82638985.0,4100020177/FRESH FRUIT/VEG BOX,DEFINITIVE CONTRACT,"['M', 'N', 'Q']",0.0,82638985.0,,,Department of Agriculture,Agricultural Marketing Service,2020-05-14,2020-09-19,ee5c9432-a14e-cac4-a771-47f5037a822d-C,,95,department-of-agriculture,CONT_AWD_123J1420C1825_12K2_-NONE-_-NONE-
98460417,140D0420F0343,MMS,95918817.94,74591790.0,DOD SAP CIO SETA AND FACILITY REQUIREMENTS,DELIVERY ORDER,['Q'],,,,,Department of the Interior,Departmental Offices,2020-07-02,2025-07-01,6be0884c-0933-1815-48c1-7b0b343222c0-C,,209,department-of-the-interior,CONT_AWD_140D0420F0343_1406_GS35F0534W_4730
125118071,FA880721C0005,LHX,187040360.18,44090.6,GLOBAL POSITIONING SYSTEM MILITARY USERS EQUIPMENT MINIATURE SERIAL INTERFACE RECEIVER CARD PROGRAM WITH NEXT GENERATION APPLICATION SPECIFIC INTEGRATED CIRCUIT INCREMENT,DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Department of the Air Force,2020-11-06,2026-03-15,4f89ba1c-2595-d485-3052-97cecae4f1b4-C,,1173,department-of-defense,CONT_AWD_FA880721C0005_9700_-NONE-_-NONE-
109373841,W56JSR20F0074,BAE,36729550.0,,FIRM FIXED PRICED DELIVERY ORDER UNDER IDIQ W56JSR-19-D-0014 FOR RT 1987 TRANSMITTER RECEIVERS.,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2020-06-01,2024-06-25,edf2b2b6-4df9-6ded-1ce9-20413c08ae97-C,,1173,department-of-defense,CONT_AWD_W56JSR20F0074_9700_W56JSR19D0014_9700
94633535,47QFCA20F0002,CACI,147824686.74,,"THE PURPOSE OF THIS AWARD IS TO PROVIDE PLANS, OPERATIONS, LOGISTICS, ENGAGEMENT, TRAINING, EXERCISE, AND ASSESSMENT SUPPORT TO AFRICOM.",DELIVERY ORDER,['Q'],,,,,General Services Administration,Federal Acquisition Service,2020-01-29,2026-01-28,b5d927cd-b446-286a-877d-dbdc6e0d20d5-C,,614,general-services-administration,CONT_AWD_47QFCA20F0002_4732_GS00Q14OADU121_4732
126552095,N0018921FZ104,CACI,31380135.74,,N16 ENTERPRISE BPR SUPPORT,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Navy,2020-12-01,2022-11-30,28eee911-76af-7147-f760-4ec5f90bec2d-C,,1173,department-of-defense,CONT_AWD_N0018921FZ104_9700_N0018918DZ043_9700
97235739,W909MY20F0035,RTN,38960494.5,,DELIVERY ORDER FOR CITV COMPONENTS FOR PM ABRAMS,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2020-02-13,2022-04-30,f5a16ae3-dea9-9665-e3ae-4580e21e57fc-C,,1173,department-of-defense,CONT_AWD_W909MY20F0035_9700_W909MY19D0015_9700
97857906,70B02C20C00000024,NOC,273144481.86,145554183.99,P-3 AIRCRAFT MAINTENANCE AND LOGISTIC SUPPORT SERVICES,DEFINITIVE CONTRACT,['Q'],,,,,Department of Homeland Security,U.S. Customs and Border Protection,2020-09-01,2024-12-31,20e2511b-72bb-ef09-f739-ac4bc059bafb-C,,766,department-of-homeland-security,CONT_AWD_70B02C20C00000024_7014_-NONE-_-NONE-
