internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
13621500,DOCYA132317CN0004,IBM,31609343.74,,IGF::CT::IGF FOR CRITICAL FUNCTIONS,DEFINITIVE CONTRACT,,,,,,Department of Commerce,U.S. Census Bureau,2017-01-01,2019-06-30,6ffc4386-853e-ef89-67e8-22c28ddcf15c-C,,183,department-of-commerce,CONT_AWD_DOCYA132317CN0004_1323_-NONE-_-NONE-
15090507,FA877117C0002,MSFT,42803656.89,0.0,IGF::CT::IGF MICROSOFT CONSULTING SUPPORT SERVICE,DEFINITIVE CONTRACT,"['E', 'N', 'Q']",-105880.66,0.0,,,Department of Defense,Department of the Air Force,2017-01-01,2020-12-31,dd77b7c3-663e-cb91-229f-5766a50e9b7f-C,,1173,department-of-defense,CONT_AWD_FA877117C0002_9700_-NONE-_-NONE-
15094469,FA882317C0001,BA,110643894.76,3617540.23,IGF::CT::IGF LETTER CONTRACT - GPS IIA/IIF ON-ORBIT SUPPORT,DEFINITIVE CONTRACT,"['E', 'N', 'Q']",-3445881.64,3445881.64,,,Department of Defense,Department of the Air Force,2017-01-01,2024-12-31,740c70fd-cbbb-2a22-db7a-d11b1259a6e7-C,,1173,department-of-defense,CONT_AWD_FA882317C0001_9700_-NONE-_-NONE-
14958477,FA811017F0002,NOC,32514992.0,,IGF::OT::IGF CY17 B-2 PERFORMANCE BASED LOGISTICS (PBL) SUSTAINING ENGINEERING (SE) SUSTAINMENT.,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2017-01-01,2022-09-30,a4e18d9e-ec75-2c26-9475-543f727fdbe7-C,,1173,department-of-defense,CONT_AWD_FA811017F0002_9700_FA861614D6060_9700
4047009,0521,IPG,27750705.06,,"IGF::OT::IGF ARMY MARKETING AND ADVERTISING PROGRAM RFTO 17-021 NATIONAL ONLINE MEDIA AMRG FUNDING - LABOR, MEDIA AND ODES (FY17)",DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2017-01-01,2017-12-31,709fccd9-ebd1-2326-1115-94b0deeb7b6c-C,,1173,department-of-defense,CONT_AWD_0521_9700_W9124D11D0036_9700
25893188,N0003017C0045,LMT,82843808.89,113183.58,FY17 UK SSI INC 4 PROCURE OF ON-BOARD IGF::CT::IGF,DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Defense Contract Management Agency,2017-01-01,2019-04-30,0701db1f-8045-4e60-83f7-5fd066cdf38d-C,,1173,department-of-defense,CONT_AWD_N0003017C0045_9700_-NONE-_-NONE-
14958478,FA811017F0003,NOC,42655733.0,,IGF::OT::IGF  CY17 PERFORMANCE-BASED LOGISTICS (PBL) B-2 SOFTWARE SUSTAINMENT (SWS).,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2017-01-01,2017-12-31,a4e18d9e-ec75-2c26-9475-543f727fdbe7-C,,1173,department-of-defense,CONT_AWD_FA811017F0003_9700_FA861614D6060_9700
14958204,FA810717F0001,BA,31457556.92,,IGF::OT::IGF B-1 ENGINEERING SERVICES,DELIVERY ORDER,,,,,,Department of Defense,Defense Contract Management Agency,2017-01-01,2019-02-03,e2d7a16e-029f-ce0e-97dc-8b32fa6dc1d1-C,,1173,department-of-defense,CONT_AWD_FA810717F0001_9700_FA810714D0002_9700
14958476,FA811017F0001,NOC,120282483.11,,IGF::OT::IGF   CY17 B-2 PROGRAMMED DEPOT MAINTENANCE (PDM),DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2017-01-01,2020-09-30,a4e18d9e-ec75-2c26-9475-543f727fdbe7-C,,1173,department-of-defense,CONT_AWD_FA811017F0001_9700_FA861614D6060_9700
23783261,HSBP1017J00044,SAIC,34260153.82,,"IGF::CL,CT::IGF THIS TASK ORDER IS ISSUED TO DELIVER SOFTWARE SUPPORT, INCLUDING O&M AND ENHANCEMENT, IN SUPPORT OF THE BORDER ENFORCEMENT MANAGEMENT SYSTEM DIVISION AND PASSENGER SYSTEMS PROGRAM DIRECTORATE.",DELIVERY ORDER,['Q'],,,,,Department of Homeland Security,U.S. Customs and Border Protection,2017-01-01,2019-08-31,900dcfe5-fb04-162f-2149-75b51d42021a-C,,766,department-of-homeland-security,CONT_AWD_HSBP1017J00044_7014_HSBP1013D00021_7014
37217793,VA77017E0793,MCK,234617281.57,,"EXPRESS REPORT: PHARMACY PRIME VENDOR CMOP FY17 JAN 1, 2017 TO JAN 31, 2017 CONTRACT VA797P-12-D-0001",DELIVERY ORDER,,,,,,Department of Veterans Affairs,Department of Veterans Affairs,2017-01-01,2017-01-31,b54de748-ee64-a1e6-546e-e7007b054797-C,,561,department-of-veterans-affairs,CONT_AWD_VA77017E0793_3600_VA797P12D0001_3600
25889920,N0002417C5405,RTX,287378039.0,21417997.5,IFG::OT:IFG  CIWS DESIGN AGENT,DEFINITIVE CONTRACT,"['N', 'Q']",737185.79,3432582.06,,,Department of Defense,Department of the Navy,2017-01-03,2022-06-17,01c4a3a3-b4c5-ce4e-822b-d17f09985001-C,,1173,department-of-defense,CONT_AWD_N0002417C5405_9700_-NONE-_-NONE-
15117526,FA945117F0001,BA,53291481.0,1285022.49,IGF::OT::IGF LASER POD RESEARCH AND DEVELOPMENT (LPRD) TO 0001,DELIVERY ORDER,"['N', 'Q']",134775.32,456408.91,,,Department of Defense,Department of the Air Force,2017-01-03,2021-05-15,9ab85632-42cc-5fa4-2a9c-d734034ddd33-C,,1173,department-of-defense,CONT_AWD_FA945117F0001_9700_FA945117D0031_9700
15076997,FA875017F0046,NOC,39215669.0,,IGF::OT::IGF AUTOMATED VIRTUAL INFORMATION PRODUCTION SUPPORT SYSTEM VI (AVIPSS VI),DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2017-01-03,2018-12-15,20e2511b-72bb-ef09-f739-ac4bc059bafb-C,,1173.0,department-of-defense,CONT_AWD_FA875017F0046_9700_FA873214D0028_9700
4045942,0520,IPG,93188936.02,,"IGF::OT::IGF ARMY MARKETING AND ADVERTISING PROGRAM RFTO 17-020 NATIONAL AWARENESS MEDIA AMRG FUNDING - LABOR, ODES AND MEDIA (FY17)",DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2017-01-05,2017-12-31,709fccd9-ebd1-2326-1115-94b0deeb7b6c-C,,1173,department-of-defense,CONT_AWD_0520_9700_W9124D11D0036_9700
25351078,KX12,CACI,63987638.61,,IGF::OT::IGF UNDEFINITIZED UCA,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2017-01-08,2019-05-24,4763c991-6108-3b12-d5e3-f29d6935270b-C,,1173,department-of-defense,CONT_AWD_KX12_9700_W15P7T12DE010_9700
