internal_id,Award ID,Recipient Name,Award Amount,Total Outlays,Description,Contract Award Type,def_codes,COVID-19 Obligations,COVID-19 Outlays,Infrastructure Obligations,Infrastructure Outlays,Awarding Agency,Awarding Sub Agency,Start Date,End Date,recipient_id,prime_award_recipient_id,awarding_agency_id,agency_slug,generated_internal_id
151465029,FA863822F0025,NOC,143805486.5,,LARGE AIRCRAFT INFARED COUNTERMEASURES ACQUISITION SUSTAINMENT ENGINEERING REQUIREMENTS CROSS FUNCTIONAL,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2022-05-31,2026-04-30,75dec7b1-56eb-4770-da4b-ac736121ab61-C,,1173,department-of-defense,CONT_AWD_FA863822F0025_9700_FA863819D0001_9700
155493971,W912DY22F0462,WSO,55456928.08,,IO&T SERVICES GENERAL LEONARD WOOD COMMUNITY HOSPITAL REPLACEMENT,DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2022-09-30,2026-06-15,04c87108-7a9e-513c-41be-902897ac4c5a-C,,1173,department-of-defense,CONT_AWD_W912DY22F0462_9700_W912DY21D0065_9700
148160546,70Z04422FUCPL0001,WYY,40966252.45,,PROVIDE CELLULAR WIRELESS MANAGED SERVICES (CWMS) COAST GUARD WIDE VIA A TASK ORDER UNDER DHS STRATEGIC SOURCE INDEFINITE-DELIVERY INDEFINITE-QUANTITY (IDIQ) CONTRACT FOR CWMS.,DELIVERY ORDER,,,,,,Department of Homeland Security,U.S. Coast Guard,2022-05-01,2025-10-31,094ab099-c614-d129-225d-bc1cbf54de77-C,,766,department-of-homeland-security,CONT_AWD_70Z04422FUCPL0001_7008_70RTAC21D00000001_7001
150598302,693KA922F00152,SAIC,47347176.06,47341010.4,SURVEILLANCE AND BROADCAST SERVICES (SBS) SUPPORT,DELIVERY ORDER,['Q'],,,,,Department of Transportation,Federal Aviation Administration,2022-07-28,2024-01-13,20af0683-f17d-1f8f-38ee-2f11bd124559-C,,731.0,department-of-transportation,CONT_AWD_693KA922F00152_6920_693KA918D00010_6920
151906973,70T02022C7560N001,D&B,30364834.88,16822272.0,BUSINESS ENTITY VERIFICATION SERVICE,DEFINITIVE CONTRACT,['Q'],,,,,Department of Homeland Security,Transportation Security Administration,2022-09-21,2026-09-20,eee1777d-e5cc-e5ea-e738-ff1a503eff5c-C,,766,department-of-homeland-security,CONT_AWD_70T02022C7560N001_7013_-NONE-_-NONE-
155293201,W56HZV22F0467,OSK,37699469.41,,"FIVE-YEAR REQUIREMENTS CONTRACT FOR AN ESTIMATED QUANTITY OF 466 EHETS TRAILER, CONDUCT PROGRAMMATIC MEETINGS, PROVIDE FSR SUPPORT FOR PVT/OT, AND DATA DELIVERABLES. FIRST DO WILL PROCURE 5 TESTS ASSETS, 68 LRIP ASSETS, AND FUND 2 CDRLS.",DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2022-09-22,2024-12-31,5c99e12d-99a6-52a3-d019-34a3855a6ed7-C,,1173.0,department-of-defense,CONT_AWD_W56HZV22F0467_9700_W56HZV22D0092_9700
152159025,N0042122C0025,CACI,42314641.03,,NEW CONTRACT TO SUPPORT MOBILE MISSIONS SYSTEMS.,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Navy,2022-06-29,2025-06-28,28eee911-76af-7147-f760-4ec5f90bec2d-C,,1173,department-of-defense,CONT_AWD_N0042122C0025_9700_-NONE-_-NONE-
156196993,36C24023K1003,MCK,725136727.84,,EXPRESS REPORT: PHARMACEUTICAL PRIME VENDOR (PPV)FY2023 DECEMBER,DELIVERY ORDER,,,,,,Department of Veterans Affairs,Department of Veterans Affairs,2022-12-01,2022-12-31,b54de748-ee64-a1e6-546e-e7007b054797-C,,561,department-of-veterans-affairs,CONT_AWD_36C24023K1003_3600_36W79720D0001_3600
157190469,SPE4A523F3052,GE,44131578.9,,8509587290!PBL MATERIAL GE,DELIVERY ORDER,['Q'],,,,,Department of Defense,Defense Logistics Agency,2022-12-14,2023-12-31,66092799-9c72-fde6-e008-9d381191aed2-C,,1173,department-of-defense,CONT_AWD_SPE4A523F3052_9700_SPE4AX20D9002_9700
157263306,N0002423C6411,LMT,263568395.45,,G&C CONTRACT,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Navy,2022-12-16,2026-11-30,687c4cc7-53f1-d028-875d-2fc73de19122-C,,1173,department-of-defense,CONT_AWD_N0002423C6411_9700_-NONE-_-NONE-
149527169,N0002422C4485,BAESY,114651057.1,72967732.52,USS MUSTIN (DDG 89) FY22 DEPOT MODERNIZATION PERIOD (DMP),DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Department of the Navy,2022-05-16,2023-12-15,e35a8de4-8796-4af3-56c6-9583f780ab11-C,,1173,department-of-defense,CONT_AWD_N0002422C4485_9700_-NONE-_-NONE-
148915088,N0001922F2304,LMT,48538032.46,,ETA,DELIVERY ORDER,,,,,,Department of Defense,Department of the Navy,2022-02-15,2026-03-31,695d5739-ecc3-8484-ba2b-f9c8b4652a4a-C,,1173,department-of-defense,CONT_AWD_N0001922F2304_9700_N0001919G0011_9700
147887660,H9240022C0002,MAXR,31164444.01,,JICSOC GEOSPATIAL SBIR PHASE 3,DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,U.S. Special Operations Command,2022-01-30,2025-03-31,cf81c5b4-ac6b-9f54-4647-7906f1b1ccd0-C,,1173,department-of-defense,CONT_AWD_H9240022C0002_9700_-NONE-_-NONE-
149020370,N0002422C4420,BAESY,213543771.48,105330675.32,USS ESSEX (LHD 2) FY22 DOCKING SELECTED RESTRICTED AVAILABILITY (DSRA),DEFINITIVE CONTRACT,['Q'],,,,,Department of Defense,Department of the Navy,2022-06-06,2024-12-06,e35a8de4-8796-4af3-56c6-9583f780ab11-C,,1173,department-of-defense,CONT_AWD_N0002422C4420_9700_-NONE-_-NONE-
148184647,36C10B22N0047EHRM,ORCL,355656844.29,,EHRM OPERATIONS,DELIVERY ORDER,,,,,,Department of Veterans Affairs,Department of Veterans Affairs,2022-05-01,2025-06-30,9232b26d-789d-bdd2-5a6d-28714f1dfa2c-C,,561,department-of-veterans-affairs,CONT_AWD_36C10B22N0047EHRM_3600_36C10B18D5000_3600
156404242,FA862023F4780,LHX,35482552.0,,BIG SAFARI,DELIVERY ORDER,,,,,,Department of Defense,Department of the Air Force,2022-11-08,2023-12-31,2436f704-990b-cd76-9982-9ccd8db65868-C,,1173,department-of-defense,CONT_AWD_FA862023F4780_9700_FA862020G4050_9700
150461411,W909MY22F0030,CMI,26967306.0,,AMMPS DELIVERY ORDER 0014 (W909MY-22-F-0030),DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Army,2022-04-26,2023-06-30,9e483c5d-7352-28b3-89dd-33052a121331-C,,1173,department-of-defense,CONT_AWD_W909MY22F0030_9700_W909MY18D0033_9700
152205756,W15P7T22F0149,GD,26790739.0,,"PROCURE VOCALITY RADIO OVER INTERFACE PROTOCOL, ACTIVATION KEY, SOLID STATE DRIVE, POWER CABLE, POWER/DUAL BATTERY, ETHERNET ADAPTOR, POWER SUPPLY, SERVER, ANTENNAE, CASE,",DELIVERY ORDER,,,,,,Department of Defense,Department of the Army,2022-06-30,2023-06-30,fc6c95c4-c4df-e1d8-e534-7c27ff6bbe87-C,,1173,department-of-defense,CONT_AWD_W15P7T22F0149_9700_W15P7T18D0008_9700
157558253,N0001923C0002,NOC,28380929.0,,FOLLOW-ON MQ-8 SOFTWARE SUSTAINMENT CONTRACT FOR CY23-CY25,DEFINITIVE CONTRACT,,,,,,Department of Defense,Department of the Navy,2022-12-22,2025-12-22,fe5032b4-c053-b1d1-c4c9-7d6d9e770723-C,,1173,department-of-defense,CONT_AWD_N0001923C0002_9700_-NONE-_-NONE-
154355927,FA807522F0062,BAH,84985307.12,176796.06,SURVIVABILITY AND LETHALITY ANALYSIS FOR PACIFIC THEATER AND FUTURES CAPABILITIES FOR THE PACIFIC AIR FORCES,DELIVERY ORDER,['Q'],,,,,Department of Defense,Department of the Air Force,2022-08-26,2027-08-25,ffca72e5-fba2-798a-6969-2a6c45e9f985-C,,1173,department-of-defense,CONT_AWD_FA807522F0062_9700_FA807518D0004_9700
151083278,N0003922F7897,DELL,159275150.68,,"MICROSOFT PERSONAS 3, 4, 5",BPA CALL,,,,,,Department of Defense,Department of the Navy,2022-06-01,2022-11-30,d49f36ae-b747-42e3-5257-6787a69e51e9-C,,1173,department-of-defense,CONT_AWD_N0003922F7897_9700_N6600121A0083_9700
151107962,121NTB22C0185,ADM,25549092.8,,COMMODITIES FOR USG FOOD DONATIONS: 2000008731/4210006226/SORGHUM BULK,DEFINITIVE CONTRACT,,,,,,Department of Agriculture,Agricultural Marketing Service,2022-08-17,2022-10-25,ef6337ce-be34-980c-d110-5c0e70f2a666-C,,95,department-of-agriculture,CONT_AWD_121NTB22C0185_12K2_-NONE-_-NONE-
161268898,36C10G23K0059,UNH,936552875.1,,EXPRESS REPORT: Q1 EXPRESS REPORT R1,DELIVERY ORDER,,,,,,Department of Veterans Affairs,Department of Veterans Affairs,2022-10-02,2022-12-31,41694631-0b0f-72ed-221b-29193c88f0d2-C,,561,department-of-veterans-affairs,CONT_AWD_36C10G23K0059_3600_36C79119D0004_3600
115660275,N0003920F0387,TCS,73440066.0,,PRELIMINARY DESIGN REVIEW (PDR) INC. 1,DELIVERY ORDER,,,,,,Department of Defense,Department of the Navy,2022-07-30,2026-10-31,740ecf42-d00d-51af-b369-8358e24bb02c-C,,1173,department-of-defense,CONT_AWD_N0003920F0387_9700_N0003920D0056_9700
